project_id,team_size,budget_k,duration_months,complexity_score,methodology,manager_experience_yrs,num_changes,risk_score,domain,status
1,9,196,23,7.37,Waterfall,7,4,1.43,Manufacturing,Failed
2,17,353,5,5.34,Agile,1,4,9.13,IT,Failed
3,13,257,21,4.4,Waterfall,13,8,8.67,IT,Successful
4,10,180,23,7.35,Waterfall,19,3,7.01,Retail,Successful
5,9,453,9,3.24,Waterfall,19,4,6.34,Retail,Successful
6,13,201,12,3.97,Waterfall,17,7,9.03,Healthcare,Successful
7,13,103,21,4.91,Waterfall,13,5,2.67,Manufacturing,Successful
8,6,169,1,3.28,Agile,16,10,1.71,IT,Successful
9,10,210,1,4.65,Agile,8,4,3.16,Retail,Successful
10,5,457,15,6.14,Hybrid,19,2,8.15,Manufacturing,Successful
11,4,165,2,7.67,Waterfall,18,3,1.31,Retail,Successful
12,14,124,22,7.9,Agile,1,5,6.25,Retail,Failed
13,8,162,16,8.41,Agile,14,8,9.96,IT,Successful
14,4,469,8,7.7,Agile,19,4,8.7,IT,Successful
15,3,471,13,7.13,Hybrid,15,3,5.69,Retail,Successful
16,14,153,21,3.14,Agile,18,8,1.57,Finance,Successful
17,14,389,1,4.6,Agile,2,6,8.48,Retail,Successful
18,19,303,16,5.3,Agile,17,8,6.39,Retail,Successful
19,12,276,7,1.75,Agile,18,3,2.03,Healthcare,Successful
20,18,161,5,5.76,Hybrid,6,3,1.84,Healthcare,Successful
21,17,148,22,4.93,Agile,19,5,9.19,Healthcare,Successful
22,17,202,23,8.22,Hybrid,4,11,7.02,Finance,Failed
23,14,398,3,9.8,Agile,1,7,8.46,Finance,Failed
24,5,451,12,6.0,Hybrid,8,4,8.91,Retail,Failed
25,7,433,16,3.9,Agile,7,3,6.15,Healthcare,Failed
26,9,415,19,1.39,Agile,3,8,5.66,Finance,Failed
27,11,387,5,9.32,Waterfall,10,8,4.87,IT,Failed
28,9,243,22,9.27,Hybrid,10,3,3.85,Retail,Successful
29,6,359,14,3.28,Hybrid,19,3,4.91,Manufacturing,Successful
30,16,212,5,7.26,Waterfall,14,6,7.96,Retail,Successful
31,11,257,15,1.68,Hybrid,2,2,6.42,Manufacturing,Failed
32,4,494,17,2.5,Agile,1,7,9.03,Healthcare,Failed
33,17,218,14,2.95,Hybrid,18,5,4.99,Manufacturing,Successful
34,9,210,20,3.65,Agile,7,5,6.46,Healthcare,Failed
35,14,117,5,9.96,Waterfall,8,6,6.68,IT,Failed
36,10,338,12,7.27,Hybrid,1,1,6.33,Manufacturing,Failed
37,17,447,16,4.46,Waterfall,3,10,7.32,Retail,Failed
38,5,326,16,7.63,Waterfall,8,2,3.14,Healthcare,Successful
39,16,353,21,9.24,Agile,15,5,5.61,Retail,Successful
40,19,453,7,9.63,Hybrid,5,4,1.94,Finance,Failed
41,6,433,4,1.52,Agile,3,5,4.46,Healthcare,Failed
42,10,441,1,4.55,Hybrid,19,4,5.39,Manufacturing,Successful
43,6,184,5,1.96,Waterfall,1,5,6.87,Healthcare,Failed
44,4,244,23,4.02,Agile,15,6,9.55,Retail,Failed
45,8,450,10,2.53,Waterfall,8,1,6.41,IT,Failed
46,12,177,22,6.82,Waterfall,2,3,7.69,Healthcare,Failed
47,6,82,5,4.49,Waterfall,3,2,5.56,Manufacturing,Successful
48,14,225,4,3.06,Waterfall,14,5,6.71,Finance,Successful
49,4,492,2,3.39,Agile,14,4,1.64,IT,Successful
50,12,420,20,4.24,Waterfall,11,7,3.29,Finance,Successful
51,6,424,10,3.34,Hybrid,16,7,4.26,Healthcare,Successful
52,16,71,19,5.08,Agile,4,2,5.25,Retail,Failed
53,18,287,1,1.29,Waterfall,20,6,1.41,Retail,Successful
54,17,207,24,3.52,Agile,5,7,2.26,Manufacturing,Successful
55,10,87,5,4.7,Agile,14,2,3.49,Retail,Successful
56,16,279,13,6.43,Waterfall,16,7,9.74,IT,Successful
57,10,414,4,3.44,Waterfall,18,5,3.98,Retail,Successful
58,18,100,16,2.2,Agile,7,7,5.34,Manufacturing,Successful
59,15,487,24,1.69,Waterfall,10,6,2.76,Healthcare,Successful
60,17,313,16,9.46,Agile,7,5,6.5,Healthcare,Failed
61,15,332,23,4.75,Agile,1,6,3.53,Retail,Failed
62,11,76,2,6.23,Agile,19,5,2.86,Finance,Successful
63,17,275,17,9.27,Agile,16,4,5.65,Healthcare,Successful
64,15,326,20,1.74,Agile,19,7,1.05,Retail,Successful
65,3,335,24,8.89,Waterfall,4,1,1.07,Manufacturing,Failed
66,9,146,12,5.96,Waterfall,18,8,2.97,Retail,Successful
67,11,333,18,2.48,Agile,2,4,1.33,Healthcare,Failed
68,3,416,3,4.7,Hybrid,1,5,1.97,Manufacturing,Failed
69,14,497,1,8.0,Waterfall,15,3,4.05,Retail,Successful
70,10,366,1,5.32,Agile,5,7,8.22,IT,Failed
71,13,353,19,9.87,Hybrid,20,2,6.15,Manufacturing,Successful
72,19,196,11,4.39,Hybrid,11,5,5.61,IT,Successful
73,10,53,5,7.75,Agile,10,10,3.64,Finance,Failed
74,5,84,12,4.54,Agile,2,7,9.39,Manufacturing,Failed
75,5,241,3,8.46,Hybrid,3,7,4.57,IT,Failed
76,3,98,1,6.12,Waterfall,12,10,1.78,Healthcare,Successful
77,7,66,1,1.57,Agile,20,1,6.55,Healthcare,Successful
78,12,221,8,1.33,Waterfall,5,5,2.02,Finance,Successful
79,9,269,10,2.2,Hybrid,5,3,4.11,Manufacturing,Successful
80,11,207,11,1.12,Waterfall,6,8,5.57,Manufacturing,Failed
81,9,95,12,1.68,Waterfall,9,7,8.87,Manufacturing,Successful
82,11,422,13,7.23,Hybrid,2,3,5.44,Finance,Failed
83,10,55,12,5.81,Agile,12,1,7.32,Manufacturing,Successful
84,14,148,14,7.75,Agile,3,5,9.94,Healthcare,Failed
85,4,429,2,9.22,Waterfall,20,3,2.18,IT,Successful
86,3,282,19,6.27,Hybrid,12,6,3.47,Healthcare,Successful
87,18,86,18,7.54,Agile,17,3,4.55,Healthcare,Successful
88,7,329,3,7.81,Waterfall,10,4,4.8,IT,Successful
89,5,398,23,4.4,Waterfall,14,5,4.7,Healthcare,Successful
90,14,351,17,3.17,Agile,17,8,9.17,Finance,Successful
91,10,230,8,2.85,Waterfall,18,7,7.43,IT,Successful
92,5,144,10,3.26,Hybrid,19,5,6.47,Healthcare,Successful
93,3,148,2,3.47,Waterfall,17,4,3.78,Retail,Successful
94,5,237,19,2.87,Waterfall,14,6,8.41,Healthcare,Successful
95,7,165,9,8.9,Agile,9,8,9.6,Finance,Failed
96,17,240,7,7.81,Waterfall,8,4,8.39,Manufacturing,Failed
97,16,302,4,1.42,Agile,2,3,1.01,Healthcare,Successful
98,5,465,21,3.42,Agile,13,2,6.73,Manufacturing,Successful
99,3,210,18,1.2,Waterfall,7,3,1.46,Retail,Successful
100,7,305,13,5.48,Agile,9,9,3.32,Healthcare,Failed
101,16,372,11,5.29,Agile,11,5,1.54,IT,Successful
102,9,177,24,8.48,Waterfall,14,4,6.43,Manufacturing,Successful
103,11,67,4,3.77,Agile,4,7,7.18,Retail,Failed
104,17,330,21,8.35,Agile,13,8,2.03,IT,Successful
105,17,272,4,9.71,Waterfall,2,4,4.45,IT,Failed
106,12,103,10,1.8,Waterfall,5,4,5.11,IT,Successful
107,15,107,5,8.13,Agile,11,8,4.32,IT,Failed
108,9,372,9,6.31,Hybrid,6,5,2.09,Healthcare,Successful
109,19,409,24,5.32,Agile,18,5,4.77,Healthcare,Successful
110,6,223,3,4.78,Waterfall,10,6,7.76,Healthcare,Failed
111,7,329,17,8.06,Waterfall,4,7,1.64,Retail,Failed
112,9,163,3,6.75,Hybrid,9,2,1.72,Retail,Successful
113,15,337,16,8.25,Waterfall,6,1,4.19,Retail,Successful
114,17,480,4,9.13,Waterfall,2,7,9.48,Finance,Failed
115,13,391,18,6.56,Waterfall,17,5,7.02,Retail,Successful
116,6,200,17,9.82,Agile,5,4,7.11,Healthcare,Failed
117,15,499,7,6.47,Agile,6,4,4.26,Healthcare,Failed
118,9,176,24,6.73,Waterfall,12,3,6.34,Finance,Successful
119,4,204,23,5.99,Agile,10,8,1.09,Finance,Successful
120,12,435,5,1.82,Waterfall,6,7,6.72,Retail,Successful
121,15,322,12,7.54,Agile,8,1,9.22,Manufacturing,Failed
122,8,153,17,5.93,Waterfall,2,2,6.51,Finance,Failed
123,14,466,23,5.06,Agile,12,4,8.86,IT,Failed
124,14,442,13,9.19,Agile,13,6,7.52,Healthcare,Failed
125,13,348,23,3.68,Waterfall,7,4,2.09,IT,Successful
126,9,295,3,5.71,Waterfall,10,6,9.12,Healthcare,Failed
127,3,225,9,7.28,Waterfall,13,8,1.6,Healthcare,Successful
128,3,88,17,8.17,Agile,17,7,5.81,Finance,Successful
129,15,219,17,5.13,Agile,14,5,2.28,Finance,Successful
130,11,296,20,8.58,Waterfall,2,2,1.11,IT,Failed
131,5,75,16,7.92,Agile,11,1,4.8,Healthcare,Successful
132,9,404,22,1.6,Waterfall,1,7,3.66,IT,Successful
133,8,355,13,1.41,Waterfall,19,4,5.37,Manufacturing,Successful
134,10,458,19,6.59,Waterfall,4,1,6.19,IT,Failed
135,11,457,17,4.13,Waterfall,19,6,1.39,Retail,Successful
136,7,62,4,2.88,Hybrid,11,5,2.11,IT,Successful
137,3,365,12,6.22,Hybrid,8,8,6.03,Retail,Failed
138,12,440,9,4.07,Agile,11,5,4.09,Retail,Successful
139,14,362,19,5.84,Agile,4,4,7.56,Retail,Failed
140,17,85,12,5.14,Agile,17,10,6.87,Manufacturing,Failed
141,11,222,9,6.26,Agile,7,7,8.61,IT,Failed
142,19,69,7,4.6,Waterfall,8,4,7.23,IT,Failed
143,19,370,14,7.28,Hybrid,3,8,4.87,Manufacturing,Failed
144,14,313,20,2.62,Agile,2,5,7.06,Healthcare,Failed
145,9,449,19,7.27,Agile,15,5,3.48,Finance,Successful
146,4,191,15,4.7,Agile,5,5,3.76,IT,Failed
147,5,420,16,8.87,Waterfall,1,2,8.1,Finance,Failed
148,19,192,21,5.64,Waterfall,4,3,5.02,Manufacturing,Successful
149,7,141,5,9.76,Agile,15,4,8.19,Healthcare,Successful
150,19,403,3,6.42,Hybrid,20,9,8.4,Healthcare,Successful
151,19,371,12,3.01,Waterfall,19,0,8.72,Healthcare,Successful
152,19,337,20,8.4,Agile,3,5,9.25,Manufacturing,Failed
153,4,264,21,4.11,Waterfall,20,5,4.88,Retail,Successful
154,4,496,4,4.13,Waterfall,11,5,3.87,Retail,Failed
155,7,391,21,1.29,Agile,17,5,6.24,Finance,Successful
156,3,100,23,5.94,Agile,13,4,4.34,Retail,Successful
157,3,202,16,5.81,Agile,11,9,6.41,Retail,Failed
158,4,235,7,4.2,Agile,2,6,7.35,Healthcare,Failed
159,14,112,13,9.05,Hybrid,9,2,7.2,Healthcare,Successful
160,8,239,21,2.16,Hybrid,2,6,4.37,Finance,Failed
161,6,174,10,3.97,Agile,9,6,2.5,IT,Successful
162,13,199,7,3.89,Agile,9,6,4.87,Finance,Successful
163,19,363,14,1.83,Agile,8,5,2.28,Finance,Failed
164,8,107,5,5.33,Agile,17,2,9.01,Manufacturing,Successful
165,7,391,3,7.19,Hybrid,1,5,4.11,Manufacturing,Failed
166,4,354,23,5.6,Agile,11,3,2.39,Finance,Successful
167,8,229,11,2.41,Agile,8,3,1.23,Finance,Successful
168,13,219,11,4.4,Agile,10,3,6.81,Finance,Successful
169,18,375,18,1.02,Waterfall,7,6,6.73,Retail,Failed
170,18,320,15,8.81,Agile,3,6,4.07,Manufacturing,Failed
171,3,103,12,1.76,Waterfall,3,4,1.65,Finance,Failed
172,11,493,9,6.38,Agile,18,5,4.69,Healthcare,Successful
173,8,150,10,9.88,Waterfall,5,5,3.8,Healthcare,Failed
174,18,313,12,5.83,Waterfall,12,7,7.09,Retail,Successful
175,5,102,17,9.32,Agile,12,5,6.45,Retail,Failed
176,6,109,6,3.13,Agile,19,3,4.28,IT,Successful
177,5,157,7,7.84,Hybrid,6,4,2.96,IT,Successful
178,9,54,14,5.78,Hybrid,2,7,9.89,IT,Failed
179,11,152,13,7.48,Agile,12,5,5.09,Retail,Successful
180,3,245,8,1.56,Agile,19,7,7.19,Retail,Successful
181,10,311,10,2.33,Hybrid,5,8,2.26,Retail,Successful
182,9,414,9,2.2,Waterfall,12,7,5.37,Healthcare,Successful
183,10,421,18,7.18,Agile,17,5,1.25,Retail,Successful
184,3,399,2,8.6,Hybrid,17,8,5.55,Healthcare,Successful
185,13,96,5,7.75,Agile,10,4,9.68,IT,Successful
186,12,404,5,1.27,Waterfall,17,6,4.46,IT,Successful
187,5,360,6,8.8,Agile,15,8,1.35,IT,Successful
188,9,473,19,4.19,Agile,12,6,1.28,Finance,Failed
189,18,357,8,4.57,Agile,16,3,4.49,Finance,Successful
190,18,193,16,1.94,Waterfall,19,8,2.44,Manufacturing,Successful
191,19,318,13,7.64,Agile,8,4,1.21,Manufacturing,Successful
192,4,419,1,2.64,Agile,17,7,7.81,Manufacturing,Failed
193,3,173,22,6.08,Agile,5,2,5.13,Finance,Successful
194,18,155,20,8.57,Waterfall,16,10,3.6,Finance,Failed
195,14,207,17,1.8,Hybrid,6,6,9.1,Manufacturing,Failed
196,7,196,7,5.82,Agile,8,4,2.05,Manufacturing,Successful
197,7,194,13,3.1,Waterfall,18,5,9.6,Retail,Failed
198,11,169,4,4.09,Hybrid,12,6,3.83,Manufacturing,Successful
199,11,368,4,5.27,Waterfall,15,4,9.0,Retail,Successful
200,5,324,6,4.2,Agile,9,5,6.43,Healthcare,Failed
